surface,router,name,proposedPermission,kind,procedure,authority,module,level,roles,branch,sensitivity,sensitivityWhy,flags,loc
"trpc","accountsRouter","list","reports.account.list","query","reportViewerProcedure","module-gate","reports","READ","manager|accountant|auditor","asserted","LOW","قراءة","","server/routers/accountsRouter.ts:10"
"trpc","accountsRouter","tree","reports.account.tree","query","reportViewerProcedure","module-gate","reports","READ","manager|accountant|auditor","asserted","LOW","قراءة","","server/routers/accountsRouter.ts:8"
"trpc","announcementsRouter","acknowledge","announcements.announcement.acknowledge","mutation","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","MEDIUM","كتابة","","server/routers/announcementsRouter.ts:122"
"trpc","announcementsRouter","create","announcements.announcement.create","mutation","announcementsManagerProcedure","module-gate","announcements","FULL","manager","required","MEDIUM","كتابة","","server/routers/announcementsRouter.ts:50"
"trpc","announcementsRouter","get","announcements.announcement.view","query","announcementsReadProcedure","module-map","announcements","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/announcementsRouter.ts:90"
"trpc","announcementsRouter","list","announcements.announcement.list","query","announcementsReadProcedure","module-map","announcements","READ","","none","LOW","قراءة","NO_BRANCH_SCOPE","server/routers/announcementsRouter.ts:86"
"trpc","announcementsRouter","markRead","announcements.announcement.mark_read","mutation","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","MEDIUM","كتابة","","server/routers/announcementsRouter.ts:117"
"trpc","announcementsRouter","mine","announcements.announcement.mine","query","selfServiceProcedure","self-assignment","","SELF","authenticated-user","self","LOW","قراءة","","server/routers/announcementsRouter.ts:111"
"trpc","announcementsRouter","setActive","announcements.announcement.update","mutation","announcementsManagerProcedure","module-gate","announcements","FULL","manager","required","MEDIUM","كتابة","","server/routers/announcementsRouter.ts:96"
"trpc","apRemindersRouter","history","purchasing.ap_reminder.history","query","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","LOW","قراءة","","server/routers/apRemindersRouter.ts:72"
"trpc","apRemindersRouter","logSent","purchasing.ap_reminder.log_sent","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","MEDIUM","كتابة","","server/routers/apRemindersRouter.ts:93"
"trpc","apRemindersRouter","logSkipped","purchasing.ap_reminder.log_skipped","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","MEDIUM","كتابة","","server/routers/apRemindersRouter.ts:154"
"trpc","apRemindersRouter","queue","purchasing.ap_reminder.queue","query","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","LOW","قراءة","","server/routers/apRemindersRouter.ts:58"
"trpc","apRemindersRouter","sendViaApi","purchasing.ap_reminder.send","mutation","suppliersManagerProcedure","module-gate","suppliers","FULL","manager|warehouse|purchasing","required","HIGH","فعل حسّاس: send","SENSITIVE_ACTION","server/routers/apRemindersRouter.ts:125"
"trpc","arRemindersRouter","history","ar.ar_reminder.history","query","collectionsManagerProcedure","module-gate","collections","FULL","manager|accountant|admin","required","LOW","قراءة","HANDLER_ROLE_CHECK|ADMIN_ONLY","server/routers/arRemindersRouter.ts:98"
